symbol,date,time,side,entry,stop_loss,tp1,tp2,tp3,tp4
BRETTUSDT,2025-12-08,13:30,long,0.01889,0.018229,0.019098,0.019362,0.019646,0.020023
AIOTUSDT,2025-12-08,13:30,short,0.3873,0.400855,0.38304,0.377617,0.371808,0.364062
KERNELUSDT,2025-12-08,09:30,short,0.0803,0.08311,0.079417,0.078293,0.077088,0.075482
STBLUSDT,2025-12-08,09:30,short,0.05869,0.060744,0.058044,0.057223,0.056342,0.055169
STOUSDT,2025-12-08,09:30,short,0.11338,0.117348,0.112133,0.110545,0.108845,0.106577
BIOUSDT,2025-12-08,09:30,short,0.04771,0.04938,0.047185,0.046517,0.045802,0.044847
AVNTUSDT,2025-12-08,09:30,short,0.3057,0.3164,0.302337,0.298058,0.293472,0.287358
IDOLUSDT,2025-12-08,09:30,short,0.03251,0.033648,0.032152,0.031697,0.03121,0.030559
SOMIUSDT,2025-12-08,09:30,short,0.2199,0.227597,0.217481,0.214402,0.211104,0.206706
CLOUSDT,2025-12-08,09:30,long,0.4601,0.443997,0.465161,0.471602,0.478504,0.487706
SENTUSDT,2025-12-08,09:30,long,0.04819,0.046503,0.04872,0.049395,0.050118,0.051081
AIXBTUSDT,2025-12-08,09:30,short,0.04015,0.041555,0.039708,0.039146,0.038544,0.037741
CETUSUSDT,2025-12-08,05:30,long,0.02826,0.027271,0.028571,0.028966,0.02939,0.029956
NOMUSDT,2025-12-08,05:30,short,0.00967,0.010008,0.009564,0.009428,0.009283,0.00909
POPCATUSDT,2025-12-08,05:30,long,0.0993,0.095824,0.100392,0.101782,0.103272,0.105258
BRETTUSDT,2025-12-08,05:30,long,0.01799,0.01736,0.018188,0.01844,0.01871,0.019069
TURTLEUSDT,2025-12-08,05:30,short,0.06233,0.064512,0.061644,0.060772,0.059837,0.05859
PENGUUSDT,2025-12-08,05:30,long,0.010976,0.010592,0.011097,0.01125,0.011415,0.011635
ASTERUSDT,2025-12-08,05:30,short,0.9129,0.944851,0.902858,0.890078,0.876384,0.858126
PIPPINUSDT,2025-12-08,05:30,short,0.1568,0.162288,0.155075,0.15288,0.150528,0.147392
SENTUSDT,2025-12-08,01:30,long,0.04726,0.045606,0.04778,0.048441,0.04915,0.050096
AEVOUSDT,2025-12-08,01:30,long,0.04456,0.043,0.04505,0.045674,0.046342,0.047234
ALCHUSDT,2025-12-08,01:30,short,0.20231,0.209391,0.200085,0.197252,0.194218,0.190171
CLOUSDT,2025-12-08,01:30,long,0.4543,0.438399,0.459297,0.465657,0.472472,0.481558
AKEUSDT,2025-12-08,01:30,long,0.000435,0.00042,0.00044,0.000446,0.000452,0.000461
TRUTHUSDT,2025-12-08,01:30,long,0.015876,0.01532,0.016051,0.016273,0.016511,0.016829
IDOLUSDT,2025-12-08,01:30,short,0.03129,0.032385,0.030946,0.030508,0.030038,0.029413
BRUSDT,2025-12-04,01:30,short,0.05364,0.055517,0.05305,0.052299,0.051494,0.050422
PUMPBTCUSDT,2025-12-04,01:30,long,0.02705,0.026103,0.027348,0.027726,0.028132,0.028673
LIGHTUSDT,2025-12-04,01:30,long,1.5748,1.519682,1.592123,1.61417,1.637792,1.669288
BRETTUSDT,2025-12-04,01:30,long,0.02005,0.019348,0.020271,0.020551,0.020852,0.021253
USELESSUSDT,2025-12-04,01:30,long,0.1234,0.119081,0.124757,0.126485,0.128336,0.130804
ALCHUSDT,2025-12-04,01:30,long,0.20059,0.193569,0.202796,0.205605,0.208614,0.212625
ZEREBROUSDT,2025-12-04,01:30,long,0.0363,0.035029,0.036699,0.037207,0.037752,0.038478
PTBUSDT,2025-12-04,01:30,short,0.00633,0.006552,0.00626,0.006172,0.006077,0.00595
SAPIENUSDT,2025-12-04,01:30,long,0.16337,0.157652,0.165167,0.167454,0.169905,0.173172
AVNTUSDT,2025-12-03,21:30,long,0.3596,0.347014,0.363556,0.36859,0.373984,0.381176
UAIUSDT,2025-12-03,21:30,long,0.1579,0.152373,0.159637,0.161848,0.164216,0.167374
MYXUSDT,2025-12-03,21:30,long,3.28,3.1652,3.31608,3.362,3.4112,3.4768
JELLYJELLYUSDT,2025-12-03,21:30,long,0.04459,0.043029,0.04508,0.045705,0.046374,0.047265
CETUSUSDT,2025-12-03,21:30,long,0.02922,0.028197,0.029541,0.02995,0.030389,0.030973
KERNELUSDT,2025-12-03,21:30,long,0.0879,0.084823,0.088867,0.090097,0.091416,0.093174
ASTERUSDT,2025-12-03,21:30,long,1.0472,1.010548,1.058719,1.07338,1.089088,1.110032
AIOTUSDT,2025-12-03,21:30,long,0.4789,0.462138,0.484168,0.490872,0.498056,0.507634
XPINUSDT,2025-12-03,21:30,long,0.002197,0.00212,0.002221,0.002252,0.002285,0.002329
MAVIAUSDT,2025-12-03,21:30,long,0.06269,0.060496,0.06338,0.064257,0.065198,0.066451
GIGGLEUSDT,2025-12-03,21:30,short,95.05,98.37675,94.00445,92.67375,91.248,89.347
FFUSDT,2025-12-03,21:30,long,0.12849,0.123993,0.129903,0.131702,0.13363,0.136199
MOODENGUSDT,2025-12-03,21:30,long,0.0777,0.074981,0.078555,0.079643,0.080808,0.082362
BASUSDT,2025-12-03,21:30,long,0.004349,0.004197,0.004397,0.004458,0.004523,0.00461
JCTUSDT,2025-12-03,21:30,long,0.003793,0.00366,0.003835,0.003888,0.003945,0.004021
VINEUSDT,2025-12-03,17:30,long,0.03097,0.029886,0.031311,0.031744,0.032209,0.032828
STOUSDT,2025-12-03,17:30,long,0.1171,0.113001,0.118388,0.120027,0.121784,0.124126
SPXUSDT,2025-12-03,17:30,long,0.7039,0.679263,0.711643,0.721497,0.732056,0.746134
LIGHTUSDT,2025-12-03,17:30,long,1.6618,1.603637,1.68008,1.703345,1.728272,1.761508
HIPPOUSDT,2025-12-03,17:30,long,0.00119,0.001148,0.001203,0.00122,0.001238,0.001261
PENGUUSDT,2025-12-03,17:30,long,0.01191,0.011493,0.012041,0.012208,0.012386,0.012625
BONKUSDT,2025-12-03,17:30,long,0.009837,0.009493,0.009945,0.010083,0.01023,0.010427
ZEREBROUSDT,2025-12-03,17:30,long,0.03521,0.033978,0.035597,0.03609,0.036618,0.037323
EULUSDT,2025-12-03,17:30,long,4.378,4.22477,4.426158,4.48745,4.55312,4.64068
ALCHUSDT,2025-12-03,17:30,long,0.20509,0.197912,0.207346,0.210217,0.213294,0.217395
LYNUSDT,2025-12-01,13:30,short,0.06441,0.066664,0.063701,0.0628,0.061834,0.060545
BLESSUSDT,2025-12-01,13:30,short,0.01272,0.013165,0.01258,0.012402,0.012211,0.011957
NAORISUSDT,2025-12-01,13:30,short,0.02292,0.023722,0.022668,0.022347,0.022003,0.021545
GRIFFAINUSDT,2025-12-01,13:30,long,0.01957,0.018885,0.019785,0.020059,0.020353,0.020744
SENTUSDT,2025-12-01,13:30,short,0.04653,0.048159,0.046018,0.045367,0.044669,0.043738
TURTLEUSDT,2025-12-01,13:30,short,0.06903,0.071446,0.068271,0.067304,0.066269,0.064888
KOMAUSDT,2025-12-01,13:30,short,0.01268,0.013124,0.012541,0.012363,0.012173,0.011919
LABUSDT,2025-12-01,13:30,short,0.08084,0.083669,0.079951,0.078819,0.077606,0.07599
BIDUSDT,2025-12-01,13:30,long,0.04044,0.039025,0.040885,0.041451,0.042058,0.042866
HIPPOUSDT,2025-12-01,13:30,short,0.001064,0.001101,0.001052,0.001037,0.001021,0.001
COAIUSDT,2025-12-01,13:30,short,0.5132,0.531162,0.507555,0.50037,0.492672,0.482408
MOGUSDT,2025-12-01,13:30,short,0.2662,0.275517,0.263272,0.259545,0.255552,0.250228
ASTERUSDT,2025-12-01,13:30,short,0.9969,1.031791,0.985934,0.971977,0.957024,0.937086
VFYUSDT,2025-12-01,13:30,long,0.03529,0.034055,0.035678,0.036172,0.036702,0.037407
PIPPINUSDT,2025-12-01,13:30,long,0.14571,0.14061,0.147313,0.149353,0.151538,0.154453
AEVOUSDT,2025-12-01,09:30,short,0.04205,0.043522,0.041587,0.040999,0.040368,0.039527
NOMUSDT,2025-12-01,09:30,short,0.00987,0.010215,0.009761,0.009623,0.009475,0.009278
BIOUSDT,2025-12-01,09:30,short,0.05138,0.053178,0.050815,0.050096,0.049325,0.048297
BONKUSDT,2025-12-01,09:30,short,0.008699,0.009003,0.008603,0.008482,0.008351,0.008177
MAVIAUSDT,2025-12-01,09:30,short,0.0466,0.048231,0.046087,0.045435,0.044736,0.043804
BRETTUSDT,2025-12-01,09:30,short,0.01473,0.015246,0.014568,0.014362,0.014141,0.013846
CETUSUSDT,2025-12-01,09:30,short,0.02628,0.0272,0.025991,0.025623,0.025229,0.024703
TRADOORUSDT,2025-12-01,09:30,long,4.265,4.115725,4.311915,4.371625,4.4356,4.5209
VINEUSDT,2025-12-01,09:30,short,0.02811,0.029094,0.027801,0.027407,0.026986,0.026423
PENGUUSDT,2025-12-01,09:30,short,0.009668,0.010006,0.009562,0.009426,0.009281,0.009088
MOODENGUSDT,2025-12-01,09:30,short,0.0722,0.074727,0.071406,0.070395,0.069312,0.067868
MYXUSDT,2025-12-01,09:30,long,2.757,2.660505,2.787327,2.825925,2.86728,2.92242
ALCHUSDT,2025-12-01,09:30,long,0.16687,0.16103,0.168706,0.171042,0.173545,0.176882
FARTCOINUSDT,2025-12-01,09:30,short,0.2696,0.279036,0.266634,0.26286,0.258816,0.253424
AGTUSDT,2025-12-01,09:30,short,0.002933,0.003036,0.002901,0.00286,0.002816,0.002757
IDOLUSDT,2025-12-01,05:30,long,0.03137,0.030272,0.031715,0.032154,0.032625,0.033252
