status,symbol,side,signal_datetime,entry_price,tp_percent,sl_percent,tp_price,sl_price,hours_window,entry_hit,result,pnl,pnl_percent,exit_time,bars_in_trade,has_csv_tpsl,signal_index,position_size,exit_price,balance_after_trade
completed,PROVEUSDT,long,2025-10-22 05:30:00,0.8143,2.0,5.0,0.830586,0.773585,4.0,True,expired,-0.4148409122042652,-3.4016954800749746,2025-10-22 09:31:00,242.0,False,29,12.195121951219512,0.7865999937057495,989.3364627079382
completed,ZEREBROUSDT,short,2025-10-22 05:30:00,0.0306,2.0,5.0,0.029987999999999997,0.03213,4.0,True,expired,-0.2630315156867022,-2.156858428630958,2025-10-22 09:31:00,242.0,False,30,12.195121951219512,0.03125999867916107,989.0734311922514
completed,MOODENGUSDT,long,2025-10-22 05:30:00,0.11052,2.0,5.0,0.1127304,0.10499399999999999,4.0,True,expired,-0.17875551327159395,-1.4657952088270703,2025-10-22 09:31:00,242.0,False,31,12.195121951219512,0.10890000313520432,988.8946756789799
no_data,BONKUSDT,,2025-10-22 05:30:00,,,,,,,,,,,,,False,32,12.195121951219512,,
completed,UBUSDT,long,2025-10-22 05:30:00,0.047031,2.0,5.0,0.047971620000000006,0.04467945,4.0,True,loss,-0.6097560975609758,-5.000000000000002,2025-10-22 05:31:00,2.0,False,33,12.195121951219512,0.04467945,988.2849195814189
completed,MYXUSDT,long,2025-10-22 05:30:00,2.952,2.0,5.0,3.01104,2.8044,4.0,True,loss,-0.6097560975609764,-5.000000000000006,2025-10-22 07:48:00,139.0,False,34,12.195121951219512,2.8044,987.6751634838579
completed,STBLUSDT,long,2025-10-22 05:30:00,0.11522,2.0,5.0,0.1175244,0.109459,4.0,True,loss,-0.6097560975609758,-5.000000000000002,2025-10-22 05:31:00,2.0,False,35,12.195121951219512,0.109459,987.0654073862969
completed,PARTIUSDT,short,2025-10-22 13:30:00,0.0822,2.0,5.0,0.08055599999999999,0.08631,4.0,True,expired,-0.10385178902773085,-0.851584670027393,2025-10-22 17:31:00,242.0,False,36,12.195121951219512,0.08290000259876251,986.9615555972691
completed,AIXBTUSDT,short,2025-10-22 13:30:00,0.05555,2.0,5.0,0.054439,0.058327500000000004,4.0,True,win,0.24390243902439043,2.0000000000000013,2025-10-22 14:23:00,45.0,False,37,12.195121951219512,0.054439,987.2054580362935
completed,NOMUSDT,short,2025-10-22 13:30:00,0.02061,2.0,5.0,0.0201978,0.0216405,4.0,True,expired,0.11242473042647075,0.9218827894970602,2025-10-22 17:38:00,242.0,False,38,12.195121951219512,0.020419999957084656,987.31788276672
completed,MOODENGUSDT,short,2025-10-22 13:30:00,0.10953,2.0,5.0,0.1073394,0.11500650000000001,4.0,True,expired,0.04564999137226211,0.37432992925254926,2025-10-22 17:31:00,242.0,False,39,12.195121951219512,0.10911999642848969,987.3635327580922
completed,XPINUSDT,long,2025-10-22 13:30:00,0.005397,2.0,5.0,0.00550494,0.00512715,4.0,True,loss,-0.6097560975609764,-5.000000000000006,2025-10-22 13:31:00,2.0,False,40,12.195121951219512,0.00512715,986.7537766605312
completed,HANAUSDT,long,2025-10-22 13:30:00,0.06815,2.0,5.0,0.069513,0.0647425,4.0,True,loss,-0.609756097560977,-5.0000000000000115,2025-10-22 13:31:00,2.0,False,41,12.195121951219512,0.0647425,986.1440205629702
completed,PENGUUSDT,short,2025-10-22 13:30:00,0.021108,2.0,5.0,0.020685839999999997,0.0221634,4.0,True,win,0.24390243902439102,2.000000000000006,2025-10-22 14:24:00,27.0,False,42,12.195121951219512,0.020685839999999997,986.3879230019946
completed,IDOLUSDT,long,2025-10-22 13:30:00,0.03251,2.0,5.0,0.0331602,0.030884499999999995,4.0,False,no_entry,0.0,0.0,,0.0,False,43,12.195121951219512,,
completed,EVAAUSDT,long,2025-10-23 01:30:00,8.3899,2.0,5.0,8.557698,7.970405,4.0,True,loss,-0.6097560975609762,-5.000000000000004,2025-10-23 02:05:00,36.0,False,44,12.195121951219512,7.970405,985.7781669044336
completed,PROVEUSDT,short,2025-10-23 01:30:00,0.7705,2.0,5.0,0.7550899999999999,0.809025,4.0,True,loss,-0.6097560975609762,-5.000000000000004,2025-10-23 04:16:00,167.0,False,45,12.195121951219512,0.809025,985.1684108068727
completed,HANAUSDT,short,2025-10-23 01:30:00,0.04664,2.0,5.0,0.0457072,0.048972,4.0,True,loss,-0.6097560975609758,-5.000000000000002,2025-10-23 01:31:00,2.0,False,46,12.195121951219512,0.048972,984.5586547093117
completed,AIXBTUSDT,short,2025-10-23 01:30:00,0.05317,2.0,5.0,0.0521066,0.0558285,4.0,True,expired,-0.14679110712915708,-1.203687078459088,2025-10-23 08:45:00,242.0,False,47,12.195121951219512,0.0538100004196167,984.4118636021825
completed,AVNTUSDT,long,2025-10-23 01:30:00,0.6309,2.0,5.0,0.643518,0.599355,4.0,True,win,0.2439024390243906,2.0000000000000027,2025-10-23 06:17:00,142.0,False,48,12.195121951219512,0.643518,984.6557660412069
completed,MOODENGUSDT,short,2025-10-23 01:30:00,0.10787,2.0,5.0,0.10571259999999999,0.1132635,4.0,True,expired,-0.28263500181761164,-2.3176070149044157,2025-10-23 07:04:00,242.0,False,49,12.195121951219512,0.11037000268697739,984.3731310393892
completed,ARCUSDT,short,2025-10-23 01:30:00,0.0123,2.0,5.0,0.012054,0.012915000000000001,4.0,True,expired,0.05948833121020447,0.4878043159236766,2025-10-23 06:34:00,242.0,False,50,12.195121951219512,0.012240000069141388,984.4326193705995
completed,TRUTHUSDT,long,2025-10-23 05:30:00,0.016538,2.0,5.0,0.01686876,0.0157111,4.0,True,win,0.2439024390243898,1.9999999999999962,2025-10-23 06:16:00,45.0,False,51,12.195121951219512,0.01686876,984.6765218096239
completed,FARTCOINUSDT,short,2025-10-23 05:30:00,0.3287,2.0,5.0,0.32212599999999997,0.345135,4.0,True,expired,-0.3747212991807395,-3.072714653282064,2025-10-23 09:32:00,242.0,False,52,12.195121951219512,0.33880001306533813,984.3018005104432
completed,DOLOUSDT,short,2025-10-23 05:30:00,0.07778,2.0,5.0,0.0762244,0.081669,4.0,True,expired,-0.39354231767441644,-3.2270470049302147,2025-10-23 09:31:00,242.0,False,53,12.195121951219512,0.08028999716043472,983.9082581927688
completed,XPINUSDT,long,2025-10-23 05:30:00,0.004993,2.0,5.0,0.00509286,0.0047433499999999995,4.0,False,no_entry,0.0,0.0,,0.0,False,54,12.195121951219512,,
completed,IDOLUSDT,long,2025-10-23 05:30:00,0.03841,2.0,5.0,0.0391782,0.0364895,4.0,True,win,0.2439024390243914,2.0000000000000093,2025-10-23 07:50:00,133.0,False,55,12.195121951219512,0.0391782,984.1521606317932
completed,POPCATUSDT,short,2025-10-23 05:30:00,0.1425,2.0,5.0,0.13965,0.14962499999999998,4.0,True,expired,-0.4450147050948148,-3.649120581777481,2025-10-23 09:31:00,242.0,False,56,12.195121951219512,0.1476999968290329,983.7071459266984
completed,ARIAUSDT,long,2025-10-23 05:30:00,0.17548,2.0,5.0,0.1789896,0.166706,4.0,True,loss,-0.6097560975609759,-5.000000000000003,2025-10-23 08:32:00,183.0,False,57,12.195121951219512,0.166706,983.0973898291375
completed,PENGUUSDT,short,2025-10-23 05:30:00,0.01993,2.0,5.0,0.0195314,0.0209265,4.0,True,expired,-0.359795446453529,-2.950322660918938,2025-10-23 09:32:00,242.0,False,58,12.195121951219512,0.020517999306321144,982.7375943826839
completed,XPLUSDT,short,2025-10-23 05:30:00,0.3429,2.0,5.0,0.33604199999999995,0.360045,4.0,True,expired,-0.4054368522047162,-3.324582188078673,2025-10-23 09:37:00,242.0,False,59,12.195121951219512,0.35429999232292175,982.3321575304792
completed,GOATUSDT,short,2025-10-23 05:30:00,0.05002,2.0,5.0,0.0490196,0.052521000000000005,4.0,True,expired,-0.4047158298255638,-3.3186698045696232,2025-10-23 09:31:00,242.0,False,60,12.195121951219512,0.05167999863624573,981.9274417006536
completed,UBUSDT,long,2025-10-23 05:30:00,0.050165,2.0,5.0,0.0511683,0.04765675,4.0,True,loss,-0.6097560975609765,-5.000000000000007,2025-10-23 05:31:00,2.0,False,61,12.195121951219512,0.04765675,981.3176856030926
completed,SPXUSDT,short,2025-10-23 05:30:00,0.8936,2.0,5.0,0.875728,0.93828,4.0,True,loss,-0.6097560975609764,-5.000000000000006,2025-10-23 06:15:00,46.0,False,62,12.195121951219512,0.93828,980.7079295055316
no_data,BONKUSDT,,2025-10-23 05:30:00,,,,,,,,,,,,,False,63,12.195121951219512,,
completed,HANAUSDT,short,2025-10-23 09:30:00,0.05024,2.0,5.0,0.0492352,0.052752,4.0,True,loss,-0.6097560975609757,-5.000000000000001,2025-10-23 09:31:00,2.0,False,64,12.195121951219512,0.052752,980.0981734079706
completed,EVAAUSDT,long,2025-10-23 09:30:00,7.9022,2.0,5.0,8.060243999999999,7.507089999999999,4.0,True,loss,-0.6097560975609767,-5.000000000000009,2025-10-23 09:31:00,2.0,False,65,12.195121951219512,7.507089999999999,979.4884173104097
completed,MOODENGUSDT,short,2025-10-23 09:30:00,0.10775,2.0,5.0,0.105595,0.1131375,4.0,True,expired,-0.19353785004021337,-1.5870103703297496,2025-10-23 13:31:00,242.0,False,66,12.195121951219512,0.1094600036740303,979.2948794603694
completed,FFUSDT,short,2025-10-23 09:30:00,0.13538,2.0,5.0,0.1326724,0.142149,4.0,True,loss,-0.6097560975609754,-4.999999999999998,2025-10-23 09:31:00,2.0,False,67,12.195121951219512,0.142149,978.6851233628084
completed,PROVEUSDT,short,2025-10-23 09:30:00,0.7988,2.0,5.0,0.782824,0.83874,4.0,True,loss,-0.609756097560977,-5.0000000000000115,2025-10-23 11:56:00,147.0,False,68,12.195121951219512,0.83874,978.0753672652475
completed,BTRUSDT,short,2025-10-23 09:30:00,0.06919,2.0,5.0,0.0678062,0.0726495,4.0,True,loss,-0.6097560975609764,-5.000000000000006,2025-10-23 09:31:00,2.0,False,69,12.195121951219512,0.0726495,977.4656111676865
completed,ARCUSDT,short,2025-10-23 09:30:00,0.01232,2.0,5.0,0.012073599999999999,0.012936,4.0,True,loss,-0.6097560975609759,-5.000000000000003,2025-10-23 13:31:00,238.0,False,70,12.195121951219512,0.012936,976.8558550701255
completed,COAIUSDT,long,2025-10-23 09:30:00,14.068,2.0,5.0,14.349359999999999,13.3646,4.0,False,no_entry,0.0,0.0,,0.0,False,71,12.195121951219512,,
completed,ARIAUSDT,long,2025-10-23 13:30:00,0.17329,2.0,5.0,0.1767558,0.16462549999999998,4.0,True,win,0.24390243902438963,1.999999999999995,2025-10-23 14:10:00,41.0,False,72,12.195121951219512,0.1767558,977.0997575091499
completed,TRUTHUSDT,long,2025-10-23 13:30:00,0.016718,2.0,5.0,0.01705236,0.0158821,4.0,True,loss,-0.6097560975609759,-5.000000000000003,2025-10-23 13:31:00,2.0,False,73,12.195121951219512,0.0158821,976.4900014115889
completed,RIVERUSDT,long,2025-10-23 13:30:00,8.813,2.0,5.0,8.989260000000002,8.37235,4.0,True,win,0.24390243902439157,2.0000000000000107,2025-10-23 13:51:00,22.0,False,74,12.195121951219512,8.989260000000002,976.7339038506133
completed,XPINUSDT,long,2025-10-23 13:30:00,0.007865,2.0,5.0,0.008022300000000001,0.00747175,4.0,True,loss,-0.6097560975609762,-5.000000000000004,2025-10-23 17:02:00,3.0,False,75,12.195121951219512,0.00747175,976.1241477530523
completed,IDOLUSDT,long,2025-10-23 13:30:00,0.03889,2.0,5.0,0.0396678,0.0369455,4.0,True,expired,1.356953383565666e-07,1.112701774523846e-06,2025-10-23 17:31:00,242.0,False,76,12.195121951219512,0.03889000043272972,976.1241478887476
completed,PENGUUSDT,short,2025-10-23 13:30:00,0.020476,2.0,5.0,0.02006648,0.021499800000000003,4.0,True,expired,0.05479311038415711,0.44930350515008827,2025-10-23 19:11:00,242.0,False,77,12.195121951219512,0.02038400061428547,976.1789409991318
completed,HANAUSDT,short,2025-10-23 17:30:00,0.05382,2.0,5.0,0.0527436,0.056511,4.0,True,win,0.24390243902438982,1.9999999999999967,2025-10-23 18:41:00,72.0,False,78,12.195121951219512,0.0527436,976.4228434381562
completed,COAIUSDT,long,2025-10-23 17:30:00,16.805,2.0,5.0,17.1411,15.964749999999999,4.0,True,loss,-0.6097560975609764,-5.000000000000006,2025-10-23 17:59:00,21.0,False,79,12.195121951219512,15.964749999999999,975.8130873405952
completed,FFUSDT,short,2025-10-23 17:30:00,0.15107,2.0,5.0,0.1480486,0.15862350000000003,4.0,True,expired,-0.268814645498098,-2.204280093084404,2025-10-23 21:31:00,242.0,False,80,12.195121951219512,0.15440000593662262,975.5442726950971
completed,AVNTUSDT,long,2025-10-23 17:30:00,0.6591,2.0,5.0,0.672282,0.626145,4.0,True,expired,-0.19612802986390596,-1.6082498448840288,2025-10-23 21:31:00,242.0,False,81,12.195121951219512,0.6485000252723694,975.3481446652332
completed,TAGUSDT,long,2025-10-23 17:30:00,0.000402,2.0,5.0,0.00041004,0.0003819,4.0,False,no_entry,0.0,0.0,,0.0,False,82,12.195121951219512,,
completed,ARCUSDT,short,2025-10-23 17:30:00,0.01235,2.0,5.0,0.012103,0.0129675,4.0,True,loss,-0.6097560975609757,-5.0,2025-10-23 17:31:00,2.0,False,83,12.195121951219512,0.0129675,974.7383885676722
