status,symbol,side,signal_datetime,entry_price,tp_percent,sl_percent,tp_price,sl_price,hours_window,entry_hit,result,pnl,pnl_percent,exit_time,bars_in_trade,has_csv_tpsl,signal_index,exit_price,balance_after_trade
no_data,BONKUSDT,,2025-10-22 05:30:00,,,,,,,,,,,,,False,32,,
completed,UBUSDT,long,2025-10-22 05:30:00,0.047031,2.0,5.0,0.047971620000000006,0.04467945,16.0,True,loss,-2.500000000000001,-5.000000000000002,2025-10-22 05:31:00,2.0,False,33,0.04467945,950.6490665797513
completed,MYXUSDT,long,2025-10-22 05:30:00,2.952,2.0,5.0,3.01104,2.8044,16.0,True,loss,-2.500000000000003,-5.000000000000006,2025-10-22 07:48:00,139.0,False,34,2.8044,948.1490665797513
completed,STBLUSDT,long,2025-10-22 05:30:00,0.11522,2.0,5.0,0.1175244,0.109459,16.0,True,loss,-2.500000000000001,-5.000000000000002,2025-10-22 05:31:00,2.0,False,35,0.109459,945.6490665797513
completed,PARTIUSDT,short,2025-10-22 13:30:00,0.0822,2.0,5.0,0.08055599999999999,0.08631,16.0,True,win,1.000000000000004,2.000000000000008,2025-10-22 20:53:00,444.0,False,36,0.08055599999999999,946.6490665797513
completed,AIXBTUSDT,short,2025-10-22 13:30:00,0.05555,2.0,5.0,0.054439,0.058327500000000004,16.0,True,win,1.0000000000000007,2.0000000000000013,2025-10-22 14:23:00,45.0,False,37,0.054439,947.6490665797513
completed,NOMUSDT,short,2025-10-22 13:30:00,0.02061,2.0,5.0,0.0201978,0.0216405,16.0,True,win,1.0000000000000036,2.000000000000007,2025-10-22 18:41:00,305.0,False,38,0.0201978,948.6490665797513
completed,MOODENGUSDT,short,2025-10-22 13:30:00,0.10953,2.0,5.0,0.1073394,0.11500650000000001,16.0,True,win,1.0000000000000004,2.000000000000001,2025-10-22 18:16:00,287.0,False,39,0.1073394,949.6490665797513
completed,XPINUSDT,long,2025-10-22 13:30:00,0.005397,2.0,5.0,0.00550494,0.00512715,16.0,True,loss,-2.500000000000003,-5.000000000000006,2025-10-22 13:31:00,2.0,False,40,0.00512715,947.1490665797513
completed,HANAUSDT,long,2025-10-22 13:30:00,0.06815,2.0,5.0,0.069513,0.0647425,16.0,True,loss,-2.5000000000000058,-5.0000000000000115,2025-10-22 13:31:00,2.0,False,41,0.0647425,944.6490665797513
completed,PENGUUSDT,short,2025-10-22 13:30:00,0.021108,2.0,5.0,0.020685839999999997,0.0221634,16.0,True,win,1.000000000000003,2.000000000000006,2025-10-22 14:24:00,27.0,False,42,0.020685839999999997,945.6490665797513
completed,IDOLUSDT,long,2025-10-22 13:30:00,0.03251,2.0,5.0,0.0331602,0.030884499999999995,16.0,False,no_entry,0.0,0.0,,0.0,False,43,,
completed,EVAAUSDT,long,2025-10-23 01:30:00,8.3899,2.0,5.0,8.557698,7.970405,16.0,True,loss,-2.500000000000002,-5.000000000000004,2025-10-23 02:05:00,36.0,False,44,7.970405,943.1490665797513
completed,PROVEUSDT,short,2025-10-23 01:30:00,0.7705,2.0,5.0,0.7550899999999999,0.809025,16.0,True,loss,-2.500000000000002,-5.000000000000004,2025-10-23 04:16:00,167.0,False,45,0.809025,940.6490665797513
completed,HANAUSDT,short,2025-10-23 01:30:00,0.04664,2.0,5.0,0.0457072,0.048972,16.0,True,loss,-2.500000000000001,-5.000000000000002,2025-10-23 01:31:00,2.0,False,46,0.048972,938.1490665797513
completed,AIXBTUSDT,short,2025-10-23 01:30:00,0.05317,2.0,5.0,0.0521066,0.0558285,16.0,True,expired,-0.6676684449170552,-1.3353368898341105,2025-10-23 09:00:00,257.0,False,47,0.0538799986243248,937.4813981348343
completed,AVNTUSDT,long,2025-10-23 01:30:00,0.6309,2.0,5.0,0.643518,0.599355,16.0,True,win,1.0000000000000013,2.0000000000000027,2025-10-23 06:17:00,142.0,False,48,0.643518,938.4813981348343
completed,MOODENGUSDT,short,2025-10-23 01:30:00,0.10787,2.0,5.0,0.10571259999999999,0.1132635,16.0,True,expired,-1.0753669508462562,-2.1507339016925124,2025-10-23 09:00:00,358.0,False,49,0.1101899966597557,937.406031183988
completed,ARCUSDT,short,2025-10-23 01:30:00,0.0123,2.0,5.0,0.012054,0.012915000000000001,16.0,True,expired,-0.3252040806824592,-0.6504081613649184,2025-10-23 09:00:00,388.0,False,50,0.012380000203847885,937.0808271033055
